state,state_pcode,lga,pcode,idps_girls,idps_boys,returnees_girls,returnees_boys,host_girls,host_boys,school_age_girls,school_age_boys,school_age_total
Adamawa,NG002,Demsa,NG002001,6683,6542,4068,3977,49932,43691,60683,54210,114893
Adamawa,NG002,Fufore,NG002002,2420,2075,0,0,143945,125952,146365,128027,274392
Adamawa,NG002,Ganye,NG002003,230,213,0,0,87720,76755,87950,76968,164918
Adamawa,NG002,Girei,NG002004,6070,5180,327,312,66724,58384,73121,63876,136997
Adamawa,NG002,Gombi,NG002005,1370,1082,24754,23581,64994,56869,91118,81532,172650
Adamawa,NG002,Guyuk,NG002006,1489,1301,3000,2790,42859,37502,47348,41593,88941
Adamawa,NG002,Hong,NG002007,1620,1349,50732,49628,33534,29343,85886,80320,166206
Adamawa,NG002,Jada,NG002008,196,130,0,0,117931,103190,118127,103320,221447
Adamawa,NG002,Lamurde,NG002009,1687,1502,10290,10146,23978,20981,35955,32629,68584
Adamawa,NG002,Madagali,NG002010,5797,5248,18552,15789,27270,23862,51619,44899,96518
Adamawa,NG002,Maiha,NG002011,5697,4550,17237,13197,33381,29208,56315,46955,103270
Adamawa,NG002,Mayo-Belwa,NG002012,491,354,245,203,93289,81628,94025,82185,176210
Adamawa,NG002,Michika,NG002013,5884,4892,49055,44875,17374,15202,72313,64969,137282
Adamawa,NG002,Mubi North,NG002014,3650,3359,30417,27964,41356,36187,75423,67510,142933
Adamawa,NG002,Mubi South,NG002015,2085,1780,35437,30196,34516,30201,72038,62177,134215
Adamawa,NG002,Numan,NG002016,7061,6179,7631,7119,12640,11060,27332,24358,51690
Adamawa,NG002,Shelleng,NG002017,3621,2428,3235,1876,34260,29978,41116,34282,75398
Adamawa,NG002,Song,NG002018,797,632,12469,7350,96877,84767,110143,92749,202892
Adamawa,NG002,Toungo,NG002019,197,170,0,0,36119,31604,36316,31774,68090
Adamawa,NG002,Yola North,NG002020,3389,2225,181,155,71626,62672,75196,65052,140248
Adamawa,NG002,Yola South,NG002021,6914,5563,0,0,131723,115257,138637,120820,259457
Borno,NG008,Abadam,NG008001,0,0,0,0,38143,33375,38143,33375,71518
Borno,NG008,Askira/Uba,NG008002,4744,3170,57156,49494,44625,39047,106525,91711,198236
Borno,NG008,Bama,NG008003,56427,48198,20834,17355,11433,10004,88694,75557,164251
Borno,NG008,Bayo,NG008004,85,93,987,972,61469,53785,62541,54850,117391
Borno,NG008,Biu,NG008005,16086,13263,2954,2510,101679,88969,120719,104742,225461
Borno,NG008,Chibok,NG008006,4272,4153,10119,9862,26319,23029,40710,37044,77754
Borno,NG008,Damboa,NG008007,31905,25294,11599,8712,28109,24595,71613,58601,130214
Borno,NG008,Dikwa,NG008008,33767,27780,10182,8329,-846,-740,43103,35369,78472
Borno,NG008,Gubio,NG008009,3421,2890,7208,6129,43668,38209,54297,47228,101525
Borno,NG008,Guzamala,NG008010,0,0,0,0,32691,28605,32691,28605,61296
Borno,NG008,Gwoza,NG008011,56477,46418,31713,23551,3777,3305,91967,73274,165241
Borno,NG008,Hawul,NG008012,6215,5583,8168,7270,86668,75834,101051,88687,189738
Borno,NG008,Jere,NG008013,104985,77924,2719,2308,84969,74348,192673,154580,347253
Borno,NG008,Kaga,NG008014,8720,7174,14889,12340,21516,18827,45125,38341,83466
Borno,NG008,Kala/Balge,NG008015,11319,9839,0,0,10701,9363,22020,19202,41222
Borno,NG008,Konduga,NG008016,25993,20474,16579,13672,16150,14132,58722,48278,107000
Borno,NG008,Kukawa,NG008017,0,0,0,0,37405,32729,37405,32729,70134
Borno,NG008,Kwaya Kusar,NG008018,2094,1658,0,0,49585,43387,51679,45045,96724
Borno,NG008,Mafa,NG008019,12306,10184,6484,5498,14296,12509,33086,28191,61277
Borno,NG008,Magumeri,NG008020,13667,9154,4091,2830,53929,47188,71687,59172,130859
Borno,NG008,Maiduguri,NG008021,70300,57268,0,0,202010,176759,272310,234027,506337
Borno,NG008,Marte,NG008022,0,0,0,0,29578,25881,29578,25881,55459
Borno,NG008,Mobbar,NG008023,13921,11484,23442,19570,30423,26620,67786,57674,125460
Borno,NG008,Monguno,NG008024,49861,40467,14657,13450,426,372,64944,54289,119233
Borno,NG008,Ngala,NG008025,36957,26558,37871,29912,15186,13288,90014,69758,159772
Borno,NG008,Nganzai,NG008026,0,0,0,0,33654,29447,33654,29447,63101
Borno,NG008,Shani,NG008027,1080,925,0,0,75391,65967,76471,66892,143363
Yobe,NG036,Bade,NG036001,5773,4922,0,0,67556,59111,73329,64033,137362
Yobe,NG036,Bursari,NG036002,1453,1073,0,0,69380,60708,70833,61781,132614
Yobe,NG036,Damaturu,NG036003,6726,5631,1402,1196,107963,94468,116091,101295,217386
Yobe,NG036,Fika,NG036004,1300,1075,0,0,101773,89052,103073,90127,193200
Yobe,NG036,Fune,NG036005,1263,953,0,0,163402,142977,164665,143930,308595
Yobe,NG036,Geidam,NG036006,7907,2790,91623,42928,38116,33352,137646,79070,216716
Yobe,NG036,Gujba,NG036007,18089,14826,23762,20958,39593,34644,81444,70428,151872
Yobe,NG036,Gulani,NG036008,618,453,27598,25708,65894,57657,94110,83818,177928
Yobe,NG036,Jakusko,NG036009,872,696,0,0,83746,73278,84618,73974,158592
Yobe,NG036,Karasuwa,NG036010,347,244,0,0,51132,44740,51479,44984,96463
Yobe,NG036,Machina,NG036011,877,360,0,0,55811,48835,56688,49195,105883
Yobe,NG036,Nangere,NG036012,506,437,0,0,61734,54017,62240,54454,116694
Yobe,NG036,Nguru,NG036013,3938,1554,0,0,70505,61692,74443,63246,137689
Yobe,NG036,Potiskum,NG036014,3236,2990,0,0,160580,140507,163816,143497,307313
Yobe,NG036,Tarmua,NG036015,1174,1072,175,153,67530,59088,68879,60313,129192
Yobe,NG036,Yunusari,NG036016,784,613,3707,2809,91253,79846,95744,83268,179012
Yobe,NG036,Yusufari,NG036017,638,598,453,441,87314,76399,88405,77438,165843
